id,programma_ufficiale,evento_annullato,data inizio,data fine,titolo,sottotitolo,descrizione,rassegna,progetto,tema_dossier,format,categoria_principale,altre_categorie,date_evento,orari_evento,tipo_costo,coorganizzatori_clean,partner,sponsor,artisti,comune,provincia,regione,nazione
4763,SI,NO,10/12/2019,19/01/2020,_Ripetizione Spaziata _,Giulia Bruno,"GIORNATE DI APERTURA DELLA MOSTRA Dal 30 Novembre al 6 Gennaio | CHIUSO Martedì - Mercoledì Il 24 ed il 31 Dicembre | APERTURA STRAORDINARIA Dal 7 Gennaio | APERTURA Venerdì - Sabato - Domenica Nello spazio I-DEA, l’installazione sul tema degli archivi e sul linguaggio dell'artista Giulia Bruno. Il titolo del lavoro prende il suo nome da un sistema di ripetizione dilazionata utilizzato in ambiti didattici per assistere nella memorizzazione di informazioni. L’artista ha condotto la sua ricerca tra San Costantino Albanese, noto paese arbëreshë della Basilicata, e Matera, esplorando temi di migrazione, linguaggio e tecnologia. Nel contesto del lavoro, la migrazione è intesa come il movimento di persone, ma anche come variazione linguistica, o lo spostamento di un linguaggio da un luogo ad un altro. Qui si incrociano idee di nazione, identità e tradizione con una riflessione sul linguaggio come tecnologia e sul ruolo della tecnologia nei mutamenti linguistici imposti dall’alto, e quelli che invece filtrano dal basso. L’opera della Bruno, composta da documenti provenienti dall’Atlante Linguistico Italiano, dall’Archivio Privato di Nicola Scaldaferri, e da filmati e fotografie fatte sul campo dall’artista, comunica su vari livelli con la mostra attuale di I-DEA a cura di Pelin Tan e Liam Gillick, ampliando i temi di modernizzazione durante secondo dopo-guerra esplorati dalla curatrice e l’artista.     Foto: Laboratorio di Fonetica Sperimentale, Università degli Studi di Torino, 24.11.2019, Torino, Italia (C) Giulia Bruno, 2019  Nusazit, Festa della Madonna della Stella, San Costantino Albanese, 11.05.2019 San Costantino Albanese Italia (C) Giulia Bruno, 2019",,I-DEA,Idea,Mostra,Arte Contemporanea,,"10/12/2019,11/12/2019,12/12/2019,13/12/2019,14/12/2019,15/12/2019,16/12/2019,17/12/2019,18/12/2019,19/12/2019,20/12/2019,21/12/2019,22/12/2019,23/12/2019,24/12/2019,25/12/2019,26/12/2019,27/12/2019,28/12/2019,29/12/2019,30/12/2019,31/12/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020",10:00-19:00,2,,,,Giulia Bruno,Matera,Matera,Basilicata,Italia
3910,SI,NO,01/09/2019,01/09/2019,[re]BO[u]NDS,expanded media,"In occasione dell'inagurazione della IN VITRO Sound Art Exhibition, la performance [re]BO[u]NDS ~ expanded media. Una installazione/performance di Giulio Colangelo e Valerio De Bonis per elettrovalvole comandate, luci reattive, suoni elettronici ed elaborazioni elettroniche del suono in tempo reale: al centro, una struttura verticale composta da tre lunghi cilindri di vetro riempiti d'acqua, poggiati su piedistalli, al di sotto dei 'dripper' (elettrovalvole comandate che rilasciano goccie d'acqua). Quando una goccia d'acqua cade all'interno del cilindro il suono della goccia viene captato ed elaborato in tempo reale da una complessa architettura informatica che sovraintende anche alla spazializzazione in tempo reale. Il suono delle goccie viene gradualmente denaturato fino alla sua totale metamorfosi. Al di sotto dei cilindri sono situate piastre di Led che reagiscono al suono delle goccie ed accompagnano le differenti figurazioni musicali.",,IN ViTRØ ~ artificial sonification,Futuro Remoto,Mostra,Arte Contemporanea,Musica,1/9/2019,21:30-,2,Loxosconcept,"BCC Basilicata,CeReNeM/University of Huddersfield,Gaudeamus,Spazio Musica,Tempo Reale,ZKM",,"Giulio Colangelo,Valerio de Bonis",Montescaglioso;Matera,Matera,Basilicata,Italia
2278,NO,NO,09/03/2019,09/03/2019,#CosabolleinPuglia,"Minervino Murge, 9 marzo","Sabato 9 marzo 2019, con un walking tour nel Comune di Minervino Murge prende il via la serie di iniziative riguardanti il programma #CosabolleinPuglia, ideato dalla Cooperativa Puglia Social Club e dall’Associazione ArtTurism in riferimento al bando regionale 'InPuglia365' dell'ARET-PugliaPromozione Se volete scoprire la storia antica, il Museo archeologico di Minervino è un gioiellino che custodisce reperti archeologici di grande valore. A seguire una passeggiata con degustazione itinerante nel vicoli del suggestivo e caratteristico quartiere Scesciola allieterà la mattinata alla scoperta di storia, cultura e tradizioni gastronomiche.",,,,Rassegna,Food,Design e Architettura;Sport;Education,9/3/2019,10:00-12:30,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Comune di Minervino Murge",,,Minervino Murge,Barletta-Andria-Trani,Puglia,Italia
2298,NO,NO,10/03/2019,10/03/2019,#CosabolleinPuglia,"Andria, 10 marzo 2019","Scopri la bellissima chiesa rupestre di Santa Croce in una apertura straordinaria, ed ammira gli splendidi affreschi presenti sulle sue pareti tufacee lasciandoti trasportare dalle emozionanti letture dantesche drammatizzate.Se volete scoprire gli affreschi custoditi nella chiesa rupestre di Santa Croce, non potete perdere questa apertura straordinaria con visita guidata e letture drammatizzate. Scavata nel masso tufaceo tipico della Puglia carsica, è illuminata da splendidi affreschi datati al XIII secolo. Il messaggio degli affreschi è profondamente spirituale, rimanda alle tematiche francescane, al sacrificio di Gesù Cristo in croce. All'interno di questo luogo suggestivo un attore interpreterà alcuni passi della Divina Commedia di Dante attraverso un percorso che collega le immagini del ciclo pittorico della chiesa ai versi danteschi. Il programma #CosabolleinPuglia è ideato dalla Cooperativa Puglia Social Club e dall’Associazione ArtTurism in riferimento al bando regionale 'InPuglia365' dell'ARET-PugliaPromozione.",,,,Rassegna,Design e Architettura,Teatro;Arte Classica,10/3/2019,10:00-12:00,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Comune di Andria",,,Andria,Barletta-Andria-Trani,Puglia,Italia
2306,NO,NO,13/04/2019,13/04/2019,#CosabolleinPuglia,"Minervino Murge, 13 aprile","Se vuoi davvero scoprire la storia, le tradizioni e l'artigianato locale e le prelibatezze presenti nella suggestiva Minervino Murge, non perdere questo appuntamento inserito nel programma #CosabolleinPuglia, ideato dalla Cooperativa Puglia Social Club e dall’Associazione ArtTurism e in riferimento al bando regionale 'InPuglia365' dell'ARET-PugliaPromozione.  Visita il Santuario della Madonna del Sabato, la cui immagine, secondo una leggenda, fu ritrovata durante una battuta di caccia, quando uno dei cani, infilatosi nel terreno non ne venne più fuori. Così, inseguendo i suoi latrati fu scoperta una grotta con l'immagine della Madonna sul muro.  Scopri come creare cestini con fibre naturali, come rametti d'ulivo e canapa, e tuffati nel percorso Fritto misto, non resisto, frittura fatta solo con olio extravergine, che bontà!",,,,Rassegna,Design e Architettura,Food;Education;Arte Classica,13/04/2019,10:15-15:00,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Comune di Minervino Murge",,,Minervino Murge,Barletta-Andria-Trani,Puglia,Italia
2307,NO,NO,14/04/2019,14/04/2019,#CosabolleinPuglia,"Trani, 14 aprile 2019","Nell'ultimo degli appuntamenti inseriti nel programma #CosabolleinPuglia, ideato dalla Cooperativa Puglia Social Club e dall’Associazione ArtTurism in riferimento al bando regionale 'InPuglia365' dell'ARET-PugliaPromozione, scopri la storia della comunità ebraica presente a Trani nella prima metà dell'XI sec., visitando la sinagoga di Scola Nova; dopo divertiti con il Laboratorio degli Strascinati in una bellissima ed ospitale Masseria didattica, assapora i piatti preparati, ammira lo show cooking e lasciati trasportare dalla bontà de La colazione del contadino, un dessert preparato al momento da uno chef stellato.",,,,Rassegna,Design e Architettura,Education;Sport,14/04/2019,10:00-17:00,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Comune di Trani",,,Trani,Barletta-Andria-Trani,Puglia,Italia
2299,NO,NO,16/03/2019,16/03/2019,#CosabolleinPuglia,"Bisceglie, 16 marzo 2019","Continua con l’appuntamento di sabato 16 marzo 2019 la serie di eventi nella tradizione e nella cultura artistica ed enogastronomica pugliese, dal titolo #CosabolleinPuglia, ideato dalla Cooperativa Puglia Social Club e dall'Associazione ArtTurism e inserito nel programma regionale 'InPuglia365' dell’Agenzia ARET – PugliaPromozione. Sabato 16 marzo il teatro prescelto sarà Bisceglie, con la visita in una apertura straordinaria alla chiesa di Santa Margherita, un gioiello del romanico pugliese – e della Casa-Museo Giuliani(compositore ed esecutore, il primo ad introdurre la chitarra nella musica classica esibendosi nei teatri più importanti, tra cui a Vienna dove conosce Beethoven). A seguire anche il palato sarà allietato grazie alla degustazione del Sospiro, dolce tipico biscegliese e presidio Slow Food, con in abbinamento dell’ottimo vino.",,,,Rassegna,Musica,Food;Design e Architettura;Arte Classica,16/03/2019,10:00-12:30,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,IAT Bisceglie,Casa Museo Giuliani Bisceglie",,,Bisceglie,Barletta-Andria-Trani,Puglia,Italia
2301,NO,NO,17/03/2019,17/03/2019,#CosabolleinPuglia,"Andria, 17 marzo 2019","Continua con la data del 17 marzo la serie degli eventi denominata #CosabolleinPuglia, ideata dalla Cooperativa Puglia Social Club e dall'Associazione ArtTurism e in riferimento al bando 'InPuglia365' dell'Agenzia ARET - Pugliapromozione. Se volete scoprire come vivevano i monaci domenicani oppure siete appassionati di panorami, non perdete la visita al complesso conventuale di San Domenico costruito a monte del quartiere più antico della città di Andria. Dal suo campanile è possibile ammirare tutta la città e anche il sito UNESCO Castel del Monte. A seguire, con le mani in pasta, ti aspetta il Laboratorio del Pane.",,,,Rassegna,Design e Architettura,Food;Arte Classica;Education,17/03/2019,10:00-12:30,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Comune di Andria",,,Andria,Barletta-Andria-Trani,Puglia,Italia
2304,NO,NO,30/03/2019,30/03/2019,#CosabolleinPuglia,"Andria, 30 marzo 2019","Se volete scoprire l'affascinante storia del santuario dell'Altomare e della laura basiliana di Santa Sofia, non perdetevi questo appuntamento, di #CosabolleinPuglia, iniziativa della Cooperativa Puglia Social Club e dell'Associazione ArtTurism, vincitrici del bando 'InPuglia365' dell'Agenzia ARET - Pugliapromozione. Secondo una leggenda si narra che una bambina caduta in una cisterna fu sorretta per tre giorni, sopra il livello dell'acqua, da un'immagine della Madonna, da cui il nome dell'Altomare. Sulla cripta di Santa Sofia, poichè molti critici ritengono che fu questa Santa a salvare la bambina, fu costruito il santuario in cui è esposta l'immagine della Madonna. A seguire visita in un'azienda di produzione di miele con degustazione di miele e formaggi tipici locali.",,,,Rassegna,Design e Architettura,Arte Classica;Food;Education,30/03/2019,10:00-12:30,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Comune di Andria",,,Andria,Barletta-Andria-Trani,Puglia,Italia
2305,NO,NO,31/03/2019,31/03/2019,#CosabolleinPuglia,"Canosa di Puglia, 31 marzo 2019","Scoprite i tesori dell'antica Canusium, tra bellezze storiche come la domus romana, risalente alla metà del I sec. d.C., ritrovata nel 2014 durante dei lavori di miglioramento della rete idrica sotto le fondamenta di un palazzo moderno, o ancora ripercorrete la storia attraverso i reperti archeologici presenti nel museo archeologico 'Palazzo Sinesi'. E dopo, se non siete ancora 'sazi', seguite la visita all'azienda olearia in cui saranno un banchetto conviviale,'L'extravergine incontra il Tartufo murgiano', e l'esposizione di prodotti di artigianato locale in stand in legno caratteristici e mostra fotografica delle foto premiate durante le 3 edizioni del contest fotografico 'Scatti d'Olio' della Strada dell'olio Extravergine Castel del Monte.  L'evento fa parte del programma #CosabolleinPuglia, iniziativa della Cooperativa Puglia Social Club e dell'Associazione ArtTurism, vincitrici del bando 'InPuglia365' dell'Agenzia ARET - PugliaPromozione.",,,,Rassegna,Arte Classica,Food;Fotografia;Design e Architettura,31/03/2019,10:00-15:00,1,Associazione Artturism - Arte Cultura Territorio,"Fondazione Matera Basilicata 2019,Strada dell'Oilo Extravergine ""Castel del Monte"","","","",""Domus Romana e Palazzo Sinesi, Canosa di Puglia",,,Canosa di Puglia,Barletta-Andria-Trani,Puglia,Italia
