id_evento,evento annullato?,programma ufficiale,titolo_evento,id_luogo,nome_luogo,comune,provicia,indirizzo,latitudine,longitudine,luogo_unique_name
1887,SI,NO,Aion nei Sassi,172,Chiesa di San Pietro Barisano,Matera,Matera,Piazza San Pietro Barisano,40.668621,16.609211,Chiesa di San Pietro Barisano (Matera)
4612,SI,NO,Ales in concerto (chitarra e voce),223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
1659,SI,SI,Amore e Psiche,463,Palazzo Vescovile,Melfi,Potenza,Piazza Duomo,40.99648,15.65881,Palazzo Vescovile (Melfi)
4168,SI,NO,Angelo Galantini | 14 giugno 1979... Il Concerto,237,Galleria Cine Sud,Matera,Matera,Via Antonio Passarelli 29/31,40.6653009,16.6042835,Galleria Cine Sud (Matera)
2046,SI,SI,ArCo - Archivio digitale di Comunità,24,Luoghi vari,Roccanova,Potenza,,40.2127,16.2028,*Luoghi vari (Roccanova)
2602,SI,SI,"Art Thinking, 'Art Thinking: La relazione tra vivere d'Arte e Arte da vivere'",273,Hotel Del Campo,Matera,Matera,Via Lucrezio 1,40.681042,16.583872,Hotel Del Campo (Matera)
4694,SI,NO,Assolo a Due,223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
3822,SI,NO,Atomic Bass Trio | Rosetta Jazz Club,552,Rosetta Jazz Club,Matera,Matera,Via Gugliemo Marconi 49,40.674467,16.6004679,Rosetta Jazz Club (Matera)
3623,SI,SI,Cineforum in Periferia,611,Vico Giordano Bruno,Matera,Matera,Vico Giordano Bruno 4,40.67676,16.59476,Vico Giordano Bruno (Matera)
1978,SI,NO,Concerto dell'Epifania per la Solidarietà,159,Chiesa della Santa Famiglia,Matera,Matera,Via Enrico Mattei,40.6787856,16.5807278,Chiesa della Santa Famiglia (Matera)
4057,SI,NO,Curare e guarire l'articolazione del ginocchio: la guida definitiva,36,Online,Matera,Matera,,,,*Online (Matera)
2367,SI,NO,Drawing Machine,430,MUSMA - Museo Della Scultura Contemporanea,Matera,Matera,Via San Giacomo 20,40.666102,16.612281,MUSMA - Museo Della Scultura Contemporanea (Matera)
4522,SI,SI,Echi d'Acqua,43,Abbazia di San Michele Arcangelo,Montescaglioso,Matera,Piazza Del Popolo 14,40.558247,16.664195,Abbazia di San Michele Arcangelo (Montescaglioso)
4522,SI,SI,Echi d'Acqua,468,Palombaro Lungo,Matera,Matera,Piazza Vittorio Veneto,40.666922,16.606521,Palombaro Lungo (Matera)
1730,SI,SI,Echi d'Acqua,468,Palombaro Lungo,Matera,Matera,Piazza Vittorio Veneto,40.666922,16.606521,Palombaro Lungo (Matera)
3823,SI,NO,Enzo Marino Band - Serata Evento,561,San Barbato Resort Spa & Golf,Lavello,Potenza,S.S. 93 Km 56300,41.03509819,15.7705307,San Barbato Resort Spa & Golf (Lavello)
2972,SI,NO,Estemporanea di Pittura,479,Parco Giovanni Paolo II,Matera,Matera,Via Lucana,40.665036,16.606337,Parco Giovanni Paolo II (Matera)
2972,SI,NO,Estemporanea di Pittura,77,Biblioteca Provinciale T. Stigliani,Matera,Matera,Piazza Vittorio Veneto,40.667170,16.605515,Biblioteca Provinciale T. Stigliani (Matera)
