Progetti,Accessi con Passaporto,Accessi gratuiti,Accessi totali
Cerimonia di apertura,,60094,60094
Materadio 20182019,4814,36739,41553
"Blockbuster: Solo di Arturo Brachetti, Subsonica, Bollani, Ron, convegno Enel, Minibasket in piazza, Jova Beach Party, Videomapping Festa della Bruna. Primo Maggio Ferrandina, Artlab",5882,27027,32909
Rinascimento visto da Sud,29104,,29104
Mammamiaaa,,23155,23155
Capitale per un giorno,,20720,20720
Cammini e Percorsi,159,18526,18685
OPEN SOUND,2645,15610,18255
Ars Excavandi,17463,,17463
Formula Cinema,1110,14232,15342
M.E.M.O.RI. Museo Euro Mediterraneo Oggetti RIfiutati,1398,13500,14898
Patrimonio in gioco  19archivix19scuole,,14627,14627
La poetica dei numeri primi,12390,931,13321
Circus +,10142,580,10722
Storylines the lucanian ways,674,7750,8424
Trenodia,3539,4450,7989
Matera Alberga,92,7827,7919
Open Future Festival,3143,4550,7693
Breadway  Le vie del Pane,,7300,7300
Progetti di Comunità,,6965,6965
IDEA,3914,2274,6188
L'Atlante delle emozioni delle città  I. la Secretissima camera de lo core,2390,3500,5890
Suoni del Futuro Remoto,813,4786,5599
Open Playful Space,42,5300,5342
VOICES OF THE SPIRIT,1240,4000,5240
Future Digs,605,4519,5124
Lumen  Social Lights  Night Lights,108,4658,4766
Rinascimento fuori orario,4408,,4408
AWARE  La Nave degli Incanti,118,4270,4388
Mediterranea,4099,,4099
Duni Europa,3060,400,3460
Abitare l'Opera,2696,750,3446
Ka art. Per una cartografia corale della Basilicata,119,3306,3425
Suoni di Pietra MaterArmoniae,123,3300,3423
Mater(i)a e P(i)etra,3239,76,3315
Blind Sensorium,1366,1895,3261
Festival delle case,454,2588,3042
Trama Doppia: Maria Lai&Antonio Marras,1720,1320,3040
Gardentopia,25,2832,2857
Open Design School,140,2620,2760
Moonweek&Apollo Soundtrack,2236,470,2706
IN VITRØ ~ artificial sonification,1523,1100,2623
MATERA CITTÁ APERTA,,2390,2390
Progetti di Residenza,,2338,2338
Purgatorio,1242,780,2022
Padiglioni Invisibili,1358,579,1937
Sport Tales,628,1275,1903
EuJapan Fest,1667,140,1807
La più bella delle vergogne,1623,80,1703
Urban Games,231,1270,1501
Silent Academy,306,900,1206
la terra del pane,373,830,1203
Città resilienti,,1185,1185
Silent City,658,510,1168
PETROLIO. Uomo e natura nell'era dell'antropocene,,1143,1143
Terraemotus,1137,,1137
Edible Orchestra,406,678,1084
La poetica della vergogna,728,200,928
Architecure of Shame,503,390,893
Intesa Sanpaolo per Matera 2019,779,,779
Quantum Danza,573,190,763
TOPOI TEATRO E NUOVI MITI,661,100,761
Materre,747,,747
Matera 3019,410,290,700
Teatro nelle carceri,,550,550
Movimento Libero,204,330,534
Onda,416,71,487
LA BELLA VERGOGNA,408,,408
Visions from europe,,375,375
HERITAGE GAMES,107,225,332
"People, Places and Purposes",103,,103
Mestiere Cinema festival,94,,94
