ID,City,Macro-area,Area,name,coordinates,Inhabitants,TypeOfPlace,Property,CurrentUsage,StateOfConservation
117,Matera,Matera - Centro Storico,Civita,"Matera, Le Monacelle, Courtyard","40.667338,16.611523",60453,Landscape/Green Area,Public,Abandoned,Major Repairs (Structural)
182,Matera,Matera - Centro Storico,Civita,"Matera, Le Monacelle, Indoor Spaces","40.667655,16.611325",60453,Commercial/Industrial,N/A,N/A,N/A
34,Matera,Matera - Centro Storico,Civita,"Matera, Le Monacelle, Terrace","40.667523,16.611559",60453,Infrastructural,Public,Abandoned,Medium Repairs
49,Matera,Matera - Centro Storico,Civita,"Matera, Museo della Fotografia Pino Settanni","40.666587,16.611957",60453,Infrastructural,Public,Being Used,Minor Repairs
200,Matera,Matera - Centro Storico,Civita,"Matera, Museo Musma, Indoor","40.666102,16.612281",60453,Landscape/Green Area,Public,Being Underused,Minor Repairs
175,Matera,Matera - Centro Storico,Civita,"Matera, Palazzo Viceconte, Fondazione Southeritage","40.666607,16.612309",60453,Cultural,Public,Being Underused,Good
209,Matera,Matera - Centro Storico,Civita,"Matera, Palazzo Viceconte, Terrace","40.666630,16.612155",60453,Landscape/Green Area,Public,Being Used,Good
202,Matera,Matera - Centro Storico,Civita,"Matera, Piazza Duomo","40.666643,16.611179",60453,Cultural,Semi-Public,Being Used,Good
194,Matera,Matera - Centro Storico,Civita,"Matera, Piazza Fondazione","40.668676,16.610369",60453,Institutional,N/A,N/A,N/A
204,Matera,Matera - Centro Storico,Civita,"Matera, San Nicola dei Greci, Casa Grotta","40.668693,16.610921",60453,Religious,Public,Being Underused,Medium Repairs
205,Matera,Matera - Centro Storico,Civita,"Matera, San Nicola dei Greci, Garden","40.668554,16.610959",60453,Infrastructural,Public,Being Used,Good
190,Matera,Matera - Centro Storico,Civita,"Matera, San Nicola dei Greci, Madonna delle Virtù","40.668363,16.611357",60453,Institutional,N/A,N/A,N/A
201,Matera,Matera - Centro Storico,Civita,"Matera, Terrace on Via Muro","40.665290,16.611527",60453,Infrastructural,Public,Being Used,Good
193,Matera,Matera - Centro Storico,Civita,"Matera, Terrace Via Civita","40.667890,16.611669",60453,Institutional,N/A,N/A,N/A
199,Matera,Matera - Centro Storico,Civita,"Matera, Terraces System Civita","40.665560,16.612352",60453,Institutional,N/A,N/A,N/A
195,Matera,Matera - Centro Storico,Civita,"Matera, Vicinato Recinto I Ospedale Vecchio","40.666301,16.613306",60453,Institutional,N/A,N/A,N/A
198,Matera,Matera - Centro Storico,Civita,"Matera, Vicinato Recinto Santa Maria","40.665931,16.612928",60453,Cultural,N/A,N/A,N/A
196,Matera,Matera - Centro Storico,Civita,"Matera, Vicinato Via Madonna delle Virtù","40.666611,16.613394",60453,Institutional,N/A,N/A,N/A
137,Matera,Matera - Centro Storico,Civita,"Matera, Wall next to the Cathedral","40.666754,16.610789",60453,Cultural,Semi-Public,Being Used,Minor Repairs
390,Matera,Matera - Centro Storico,Historical Center,"Matera, Archivio di stato","40.068844,16.008001",60453,Landscape/Green Area,Private,Being Used,Good
353,Matera,Matera - Centro Storico,Historical Center,"Matera, San Rocco, Courtyard","40.667689,16.607654",60453,Infrastructural,Public,Being Underused,Minor Repairs
355,Matera,Matera - Centro Storico,Historical Center,"Matera, San Rocco, Inside","40.667703,16.607531",60453,Cultural,Private,Being Underused,Good
67,Matera,Matera - Centro Storico,"Historical Center, Piano","Matera, Palazzo dell' Annunziata, Back Space","40.666934,16.605685",60453,Infrastructural,Public,Being Underused,Good
184,Matera,Matera - Centro Storico,"Historical Center, Piano","Matera, Villa dell'Unità d'Italia","40.669673,16.606629",60453,Institutional,N/A,N/A,N/A
