Denominazione,Abstract,Categoria,Tipologia_Prevalente,Comune,Indirizzo,Proprieta,Date_complesso_archivistico,lat_comune,long_omune
Museo della Civiltà Contadina,"La raccolta è legata all’attività di collezionista del suo curatore, Carmine Pacchiano, e alla sua passione per la botanica e l’entomologia. ; La collezione è allestita in quattro ambienti sottostanti la casa dello stesso collezionista e proprietario, a cui occorre rivolgersi per poter vederla. ; La collezione comprende pezzi molto eterogenei tra loro e relativi a diversi aspetti della cultura materiale. Sono esposti attrezzi agricoli, utensileria domestica, attrezzi del falegname, suppellettili. Gli oggetti in mostra, molti dei quali restaurati dallo stesso curatore, non seguono alcun preciso criterio espositivo. ; Gli oggetti, quasi tutti acquistati, provengono, principalmente, dal territorio di Maratea, altri dal sud Italia e dall’estero (Brasile, Francia, ecc.).",Archivio Collezioni Private,Collezione oggettuale,Maratea,"Contrada Fontanelle, 1 ; 85046 Maratea, Pz",Privata,,39.9979314,15.7183069
Museo della Civiltà Contadina,"Il museo si lega alla trentennale attività di collezionista del suo curatore, l’insegnante Tommaso Dattoli. L’esposizione, allestita dallo stesso Dattoli in tre ambienti, presenta strumenti agricoli, utensileria domestica, attrezzi per lavori artigianali, suppellettili, utensili per la lavorazione del latte, della lana e della ginestra. Uno spazio è dedicato alla vita domestica e all’arredo delle case contadine tradizionali. Un nucleo consistente, e di particolare interesse, è quello costituito da oggetti in legno (marchi per il pane, stampi e bambole). La raccolta è costituita da oggetti appartenenti alla cultura tradizionale lucana, con particolare riferimento al territorio di San Severino Lucano.",Archivio Collezioni Private,Collezione oggettuale,San Severino Lucano,"Corso Garibaldi, 36 ; 85030 San Severino Lucano, Pz",Privata,,40.0218688,16.1390412
Museo della Civiltà Contadina,"La raccolta è stata messa insieme dall’ins. Carmine Lecce e dall’ins. Antonio D’Aloia a partire dai primi anni ’90. In seguito essa è stata proseguita dal solo Carmine Lecce, un ex insegnante elementare in pensione, a cui è stata affidata la cura della struttura. ; All’interno degli ambienti espositivi due spazi sono dedicati alla vita domestica e all’arredo delle case contadine tradizionali, con la ricostruzione della cucina e della camera da letto, segue un ambiente riservato alla cantina e un’area relativa agli attrezzi agricoli. ; La collezione comprende arnesi per la produzione e la lavorazione dell’uva, del grano e dell’olio; sono inoltre presenti strumenti del lavoro agricolo, utensileria domestica, attrezzi e prodotti del fabbro e del falegname e mobili d’arredo. L’intera collezione di oggetti consta di oltre 250 pezzi, provenienti dal territorio di Teana e da tutto il Senisese. Il Museo dispone di un catalogo a stampa a cura dello stesso Carmine Lecce.",Archivio Collezioni Private,Collezione oggettuale,Teana,"Largo Maria Santissima di Costantinopoli ; 85032 Teana, Pz",Comune di Teana,,40.1278267,16.1540108
Museo della Civiltà Contadina,"L’istituzione del Museo rappresenta l’esito del progetto scolastico “Museo-vetrina”, portato avanti durante l’anno scolastico 2002/2003 dall’insegnate Teresa Latronico nella scuola elementare di Sarconi. Alla fine del progetto la scuola non ha più potuto ospitare la collezione che, nel frattempo, aveva subito notevoli ampliamenti. Nel 2003 è stato realizzato l’allestimento del Museo della Civiltà Contadina all’’interno di alcuni ambienti espositivi siti in Vico I Pretoria, messi a disposizione dall’Amministrazione Comunale di Sarconi, e la gestione della raccolta è passata all’Associazione Culturale “A Tarantula”, presieduta dalla stessa Teresa Latronico, principale promotrice dell’iniziativa. ; Recentemente il museo è stato riallestito in un’altra sede, messa a disposizione sempre dall’Amministrazione Comunale di Sarconi. I nuovi ambienti espositivi sono dedicati alla vita domestica e all’arredo delle case contadine tradizionali. L’esposizione presenta anche capi di abbigliamento tradizionale, fotografie, documenti, attrezzi riguardanti diversi mestieri artigianali e strumenti agricoli. ; L’allestimento del Museo è stato reso possibile grazie alla messa a disposizione degli oggetti da parte della popolazione locale.",Archivio Collezioni Private,Collezione oggettuale,Sarconi,"Viale Petrocelli, ; 85050 Sarconi, Pz",Privata,,40.2484297,15.8896283
Museo della Civiltà Contadina,"L’ingente raccolta si lega alla quarantennale attività di collezionista del suo curatore, Giuseppe Quinto, che a partire dal 1958 ha progressivamente ampliato la collezione. L’esposizione, allestita dallo stesso Quinto in piccoli ambienti e in un’adiacente area esterna, di proprietà del collezionista, presenta oggetti provenienti soprattutto dal territorio di Pisticci. I temi documentati riguardano il lavoro nei campi, la lavorazione del legno, la lavorazione dell’argilla, la forgiatura e l’artigianato del ferro. La collezione annovera anche oggetti d’uso agricolo e domestico. Gli oggetti, disposti secondo la loro tipologia d’uso o in riferimento al materiale di costruzione, non sono mai stati sottoposti a procedure di catalogazione.",Archivio Collezioni Private,Collezione oggettuale,Pisticci,"c/da Ficagnole, S. Pietro Torre Minnaia - 75015 Pisticci (MT)",Giuseppe Quinto,,40.3917147,16.5545725
Museo della Civiltà Contadina,"Il museo è ospitato in alcuni ambienti ristrutturati del Palazzo Marchesale Donnaperna, la cui costruzione risale alla seconda metà del XVIII secolo, di proprietà comunale. L’allestimento è stato curato da Michele Morano e dalla locale sezione del C.N.G.E.I. (Corpo Nazionale Giovani Esploratori Iataliani). L’attuale esposizione è una tarda emanazione del progetto, finalizzato alla realizzazione di un Museo Storico della Civiltà Contadina Lucana, elaborato da G. B. Bronzini su incarico dell’Amministrazione Comunale di Pomarico e presentato alla Regione Basilicata all’interno del “Progetto Speciale Zone Interne” (Progetto Bradanico). Gli oggetti esposti, ordinati per settori, provengo dal territorio di Pomarico e sono stati sottoposti ad inventariazione. La collezione annovera oggetti relativi al lavoro agricolo e alla produzione di materiale laterizio, strumenti musicali, attrezzi riguardanti diversi mestieri artigianali praticati in passato nel paese, oggetti della vita domestica e arredi delle case contadine tradizionali. ; La gestione del museo è affidata alla Pro Loco di Pomarico e in particolare al suo presidente, Angelo Ferrara, al quale bisogna rivolgersi per poterlo visitare.",Archivio Collezioni Private,Collezione oggettuale,Pomarico,"c/o Palazzo Marchesale, Corso Vittorio Emanuele, 160 - 75016 Pomarico (MT)",Comune di Pomarico,,40.5155970,16.5487550
Museo della Civiltà Contadina,"Il museo, allestito nel 1997 dai servizi sociali del Comune di Satriano di Lucania, ha sede in due ambienti di Palazzo Loreti, la cui costruzione risale al XVIII secolo, che ospita anche gli uffici municipali. ; Il primo spazio espositivo della piccola struttura museale segue il modello della fedele ricostruzione di un’abitazione contadina di tipo tradizionale, che era insieme cucina, camera da letto e ricovero per gli animali, mentre il secondo ambiente è dedicato all’esposizione degli oggetti del lavoro contadino. Gli oggetti, donati dagli anziani del paese, sono stati tutti inventariati e per ogni uno di essi è stata individuata la denominazione locale.",Archivio Collezioni Private,Collezione oggettuale,Satriano di Lucania,"Palazzo Loreti,Via Palazzo, ; 85050 Satriano di Lucania, Pz",Comune di Satriano di Lucania,,40.5439540,15.6391630
Museo della Civiltà Contadina,"Il museo è allestito in alcuni spazi del settecentesco Palazzo che fu di Giustino Fortunato ed è collegato al Centro della Civiltà dell’Aglianico, ospitato negli ambienti adiacenti dello stesso edificio. La collezione, di proprietà del sig. Michele Palazzo, è stata affidata dallo stesso Palazzo in comodato d’uso al Comune di Rionero in Vulture, allo scopo di esporla e renderla fruibile per una maggiore valorizzazione. ; Il museo si articola in sezioni tematiche dedicate alla vita e al lavoro contadino di fine ’800-inizi ’900. L’esposizione presenta attrezzi del lavoro contadino, oggetti d’uso domestico, strumenti relativi ad alcuni mestieri artigianali. L’allestimento dedica particolare attenzione all’esposizione degli oggetti relativi al ciclo dell’uva e, principalmente, all’attività di vinificazione.",Archivio Collezioni Private,Collezione oggettuale,Rionero in Vulture,"Palazzo “G. Fortunato” via Garibaldi, 2 ; 85028 Rionero In Vulture, Pz",Comune di Rionero in Vulture,,40.9267222,15.6709629
Museo della Cultura Contadina,Componenti d'arredo e oggetti della vita domestica e del lavoro contadino e pastorale. Attrezzi riguardanti diversi mestieri artigianali.,Archivio Collezioni Private,Collezione oggettuale,Castelluccio Inferiore,"Località Madonna della Neve ; 85040 Castelluccio Inferiore, Pz","Circolo ""L'Agorà""",,40.0047583,15.9807855
Museo della Cultura Contadina,"La raccolta, allestita in un capannone annesso all’Istituto, è costituita da materiali relativi alla cerealicoltura, alla vitivinicoltura, all’allevamento ovino e bovino, all’attività casearia, alla mascalcia, alla dimensione domestica e all’universo dei mestieri artigianali. Gli oggetti, tutti inventariati, sono esposti secondo la successione cronologica del loro impiego nel corso dell’anno.",Archivio Collezioni Private,Collezione oggettuale,Avigliano,"Istituto Professionale di Stato per l’Agricoltura e l’Ambiente ; Via Giacomo Leopardi, 6 ; 85021 Lagopesole, Pz",Istituto Professionale per l’agricoltura e l’ambiente “G. Fortunato”,,40.7307962,15.7212777
